id,subtype,ha_accession,na_accession,impact_risk,emergence_risk
A/Shanghai/02/2013,H7N9,EPI448936,EPI448938,0,7.732746385774188
A/California/62/2018,H1N2,EPI1311361,EPI1311360,0,7.732746385774188
A/swine/North_Carolina/A02751333/2022,H3N2,EPI2396893,EPI2396894,0,7.732746385774188
A/swine/Tver_region/RII-81-1S/2023,H1N1,EPI2965146,EPI2965145,0,7.732746385774188
A/Indiana/08/2011,H3N2,EPI344405,EPI344404,0,7.636443789548213
A/swine/North_Carolina/A02479173/2020,H1N1,EPI1780425,EPI1780426,0,7.599103975707572
A/Common_Buzzard/England/125155/2023,H5N1,EPI2574053,EPI2574052,0,7.423406104019607
A/backyard_chicken/Uruguay/UDELAR-144-M3/2023,H5N1,EPI2758928,EPI2758926,0,7.415192805961626
A/Tufted_duck/Netherlands/1/2023,H5N1,EPI2904803,EPI2904802,0,7.412468533192864
A/swine/Iowa/A02479084/2020,H1N2,EPI1779472,EPI1779473,0,7.338647814337244
A/swine/Minnesota/A02245579/2020,H3N2,EPI1775813,EPI1775814,0,7.205426719128696
A/swine/ISU-Illinois/A02861867/2023,H1N1,EPI2908017,EPI2908016,0,7.195171203012293
A/swine/Iowa/A02751092/2022,H1N1,EPI2381136,EPI2381137,0,6.969805630287347
A/peregrine_falcon/Netherlands/22000191-001/2022,H5N1,EPI1980868,EPI1980867,0,6.950777028553277
A/otter/Finland/2860_21VIR9619-5/2021,H5N1,EPI2197232,EPI2197231,0,6.936200283563605
A/swine/North_Carolina/A02751482/2023,H1N2,EPI2456343,EPI2456344,0,6.901850849367661
A/gull/Estonia/TA2113284-4_21VIR7512-8/2021,H5N1,EPI1945389,EPI1945388,0,6.898989768166106
A/lynx/Finland/Vi209-22_22VIR3127-2/2022,H5N1,EPI2197224,EPI2197223,0,6.890494394419609
A/domestic_duck/England/076401/2021,H5N1,EPI2071928,EPI2071927,0,6.873562050289193
A/swine/Illinois/A02525253/2021,H3N2,EPI1910375,EPI1910376,0,6.837495188636543
A/swine/South_Korea/GNJJ/2020,H1N2,EPI2258341,EPI2258343,0,6.826969107090047
A/Great_skua/Iceland/2023AI04253/2022,H5N1,EPI2635214,EPI2635213,0,6.809682151988986
A/Gyrfalcon/Iceland/2023AI04255/2022,H5N1,EPI2635279,EPI2635277,0,6.809336051704183
A/herring_gull/England/248639/2022,H5N1,EPI2158600,EPI2158599,0,6.808891803405694
A/chicken/England/085598/2022,H5N1,EPI2089022,EPI2089021,0,6.808891803405694
A/lesser_black-backed_gull/Netherlands/22012469-002/2022,H5N1,EPI2137792,EPI2137790,0,6.808891803405621
A/Anser_anser/Spain/1035-5_22VIR6312-8/2022,H5N1,EPI2102649,EPI2102648,0,6.808891803405434
A/Mallard/Netherlands/18/2022,H5N1,EPI2197857,EPI2197856,0,6.808891803400509
A/grey_heron/Netherlands/21038941-001/2021,H5N1,EPI1941418,EPI1941417,0,6.808891803400339
A/chicken/Italy/21VIR10352/2021,H5N1,EPI1944453,EPI1944452,0,6.808891803400339
A/duck/France/21343/2021,H5N1,EPI2536840,EPI2536875,0,6.808890950950518
A/duck/Spain/2095-2_22VIR8632-5/2022,H5N1,EPI2191149,EPI2191148,0,6.808499306616421
A/goose/France/22P004055/2022,H5N1,EPI2780410,EPI2780409,0,6.8071913204341925
A/turkey/Poland/H1923_21RS3290-1/2021,H5N1,EPI2782408,EPI2782407,0,6.806957318877
A/laying_hen/Italy/21VIR11168/2021,H5N1,EPI2140973,EPI2140972,0,6.806575917995829
A/turkey/Italy/21VIR8585-1/2021,H5N1,EPI1923192,EPI1923194,0,6.806575917995654
A/chicken/Czech_Republic/61-1/2022,H5N1,EPI1999361,EPI1999360,0,6.8065759179956205
A/turkey/Italy/21VIR10001/2021,H5N1,EPI2139999,EPI2139998,0,6.80657591799058
A/chicken/Italy/21VIR9940-5/2021,H5N1,EPI2140039,EPI2140038,0,6.80657591799058
A/chicken/Italy/21VIR10094/2021,H5N1,EPI2140083,EPI2140082,0,6.8053454915569125
A/chicken/Italy/21VIR10263/2021,H5N1,EPI2140199,EPI2140198,0,6.804316324156912
A/goose/Czech_Republic/25322-179/2021,H5N1,EPI2021894,EPI2021896,0,6.803484719035304
A/broiler/Italy/21VIR11886-1/2021,H5N1,EPI2141602,EPI2141601,0,6.802535262193632
A/swine/France/59-200284/2020,H1N2,EPI1976498,EPI1976500,0,6.801620489777734
